,Code,GDPperCapita
0,AFE,1500.22927438203
1,AFW,1749.30331701118
2,ARB,6384.39049221952
3,CSS,10429.3320396051
4,CEB,16358.4741498916
5,EAR,3489.13106081302
6,EAS,11482.5316836638
7,EAP,8169.16783730136
8,TEA,8259.79560508293
9,EMU,39182.5483400922
10,ECS,24870.2619868165
11,ECA,8129.88601672878
12,TEC,9019.71737353636
13,EUU,35079.4691496775
14,FCS,1874.0720163942
15,HPC,978.793970236792
16,,44723.9289448888
17,IBD,6435.95331924092
18,IBT,5124.48713009159
19,IDB,1827.16847357077
20,IDX,1149.25488998603
21,IDA,1376.90879837575
22,LTE,9979.25411184343
23,LCN,8707.18736820255
24,LAC,8181.62274744186
25,TLA,8526.26578328322
26,LDC,1090.00328554806
27,LMY,4950.73417860259
28,,704.491273951095
29,,2386.48858914775
30,MEA,7338.01401576618
31,MNA,3439.30433515147
32,TMN,3436.759720384
33,MIC,5448.65078025163
34,NAC,63198.7013177896
35,OED,39531.6603463651
36,OSS,13540.4002873269
37,PSS,4233.4136752437
38,PST,45700.938132739
39,PRE,1455.60148016876
40,SST,12427.5767384523
41,SAS,1962.80287524759
42,TSA,1962.80287524759
43,SSF,1601.1217636118
44,SSA,1599.75918622443
45,TSS,1601.1217636118
46,,9534.00511269487
47,WLD,11319.7541087933
48,AFG,500.522664145294
49,ALB,5396.21586434732
50,DZA,4022.15018374716
51,ASM,13672.576657298
52,AND,41327.5020305489
53,AGO,2142.23875712854
54,ATG,18319.4560540762
55,ARG,9963.6725062053
56,ARM,4828.50517771789
57,ABW,31650.7605367511
58,AUS,54941.4341793948
59,AUT,50070.4033482901
60,AZE,4805.75371765917
61,BHS,32610.4850490784
62,BHR,25869.1129129041
63,BGD,2122.07885124799
64,BRB,19002.9623813263
65,BLR,6837.71782606351
66,BEL,46638.6813054855
67,BLZ,6210.56554311929
68,BEN,1170.96553298099
69,BMU,116153.166121638
70,BTN,3303.96421053812
71,BOL,3472.38083075685
72,BIH,6011.37067052755
73,BWA,6679.16767381458
74,BRA,8845.25911841876
75,BRN,30748.7374865551
76,BGR,9879.33434282707
77,BFA,772.166894917835
78,BDI,216.972968085123
79,CPV,3434.56274492859
80,KHM,1671.38538492515
81,CMR,1538.68794663506
82,CAN,46328.6718408497
83,CYM,89871.9131394463
84,CAF,426.408762581226
85,TCD,701.621216594764
86,CHL,14631.9468779229
87,CHN,10143.8381955585
88,COL,6438.06018290435
89,COM,1510.79735809965
90,COD,575.882790805511
91,COG,2288.80813763495
92,CRI,12669.341068679
93,CIV,2238.81100489009
94,HRV,15331.8830536722
95,CUB,9139.41585605765
96,CUW,19024.1771511889
97,CYP,29417.138671875
98,CZE,23664.8478631108
99,DNK,59592.9806886454
100,DJI,2876.04366371536
101,DMA,8561.58701121461
102,DOM,8173.33800656006
103,ECU,6233.25816692363
104,EGY,2869.57658843903
105,SLV,4280.28840404719
106,GNQ,7317.39018853546
107,EST,23424.4847073518
108,SWZ,3843.3773913814
109,ETH,840.449451464836
110,FRO,63383.196148417
111,FJI,5968.30055949885
112,FIN,48629.8582283032
113,FRA,40494.8982936276
114,PYF,20023.5047046924
115,GAB,7523.8622784598
116,GMB,722.874793145171
117,GEO,4696.15058555612
118,DEU,46793.6867616004
119,GHA,2167.91158941087
120,GRC,19144.284387556
121,GRL,53256.2440862119
122,GRD,9887.92074235834
123,GUM,37752.633077142
124,GTM,4647.69334663252
125,GIN,1043.8998820932
126,GNB,730.611448705215
127,GUY,6477.29672607993
128,HTI,1324.84400548618
129,HND,2519.37019370185
130,HKG,48356.0635043614
131,HUN,16782.9524639857
132,ISL,68853.71521658
133,IND,2047.23270433512
134,IDN,4151.22754296453
135,IRN,3277.875595507
136,IRQ,5621.18169491752
137,IRL,80927.0746710666
138,IMN,87157.4714603395
139,ISR,44452.2325623093
140,ITA,33673.7509627421
141,JAM,5626.17117652759
142,JPN,40458.0018755824
143,JOR,4205.56365350106
144,KAZ,9812.5958082732
145,KEN,1970.10514317888
146,KIR,1432.17898537689
147,KOR,31902.4169048194
148,XKX,4416.10835754636
149,KWT,30667.3482202553
150,KGZ,1374.03210467421
151,LAO,2598.50552320723
152,LVA,17945.2222164984
153,LBN,8985.57249887356
154,LSO,1102.56486953249
155,LBR,665.878447568436
156,LBY,10542.1492864798
157,LIE,167019.618092859
158,LTU,19595.1415724355
159,LUX,112621.821337404
160,MAC,83183.1666089243
161,MDG,512.279659659088
162,MWI,584.362867276266
163,MYS,11132.0239344924
164,MDV,11118.5565375032
165,MLI,840.175765032737
166,MLT,31198.2414453028
167,MHL,5188.97111429082
168,MRT,1839.964449578
169,MUS,11405.7268191397
170,MEX,10145.1701829207
171,FSM,3699.08151446862
172,MDA,4493.37030323867
173,MCO,199377.481831603
174,MNG,4394.94714713374
175,MNE,8909.65333601178
176,MAR,3498.57397460938
177,MOZ,508.163674567861
178,MMR,1295.2014475589
179,NAM,5126.17614357634
180,NRU,9786.02652564979
181,NPL,1185.68267540752
182,NLD,52476.2732533327
183,NCL,34797.5186645024
184,NZL,42865.233643554
185,NIC,1890.27306467363
186,NER,550.963555536013
187,NGA,2204.18157415589
188,MKD,6070.38805358275
189,MNP,23707.3288138313
190,NOR,75719.7528965342
191,OMN,19132.1522739094
192,PAK,1437.16590678288
193,PLW,15567.0908684974
194,PAN,15826.0823544866
195,PNG,2593.80465015989
196,PRY,5807.83879407975
197,PER,6955.80995882668
198,PHL,3413.84792378255
199,POL,15699.9113500703
200,PRT,23330.817288932
201,PRI,32916.866800639
202,QAT,62637.2751084291
203,ROU,12958.0755553785
204,RUS,11536.2509765625
205,RWA,806.879981050775
206,WSM,4308.27275342784
207,SMR,47287.3983949924
208,STP,1991.73826385183
209,SAU,22430.238229402
210,SEN,1462.35433280275
211,SRB,7417.20364852201
212,SYC,17253.5056614424
213,SLE,506.606894364098
214,SGP,65831.1894308765
215,SVK,19383.4810445228
216,SVN,26016.078683914
217,SLB,2398.77275659429
218,SOM,405.786763279583
219,ZAF,6688.78727128797
220,ESP,29581.5185513299
221,LKA,4082.69461963515
222,KNA,23219.3314206225
223,LCA,11726.7697662964
224,VCT,8674.37100857481
225,SDN,748.010925292969
226,SUR,6690.04478601228
227,SWE,51939.4297445291
228,CHE,84121.9310304414
229,SYR,1116.67924613649
230,TJK,889.02026237745
231,TZA,1052.02172851563
232,THA,7630.03960991873
233,TLS,1584.26384378261
234,TGO,875.932659234798
235,TON,4879.0173416227
236,TTO,15690.9630955493
237,TUN,3477.88377711232
238,TUR,9103.04337531894
239,TKM,7344.64823305792
240,TCA,27795.1485608171
241,TUV,4949.17388770172
242,UGA,823.138950454868
243,UKR,3661.45629882813
244,ARE,45376.1708381558
245,GBR,42747.080460496
246,USA,65120.3946628653
247,URY,17859.9314960921
248,UZB,1784.00981608195
249,VUT,3076.58988588361
250,VNM,3491.09127354876
251,VIR,38596.0307118282
252,PSE,3656.85827137011
253,ZMB,1268.12094056241
254,ZWE,1421.86859641758
255,AFE,1500.22927438203
256,AFW,1749.30331701118
257,ARB,6384.39049221952
258,CSS,10429.3320396051
259,CEB,16358.4741498916
260,EAR,3489.13106081302
261,EAS,11482.5316836638
262,EAP,8169.16783730136
263,TEA,8259.79560508293
264,EMU,39182.5483400922
265,ECS,24870.2619868165
266,ECA,8129.88601672878
267,TEC,9019.71737353636
268,EUU,35079.4691496775
269,FCS,1874.0720163942
270,HPC,978.793970236792
271,,44723.9289448888
272,IBD,6435.95331924092
273,IBT,5124.48713009159
274,IDB,1827.16847357077
275,IDX,1149.25488998603
276,IDA,1376.90879837575
277,LTE,9979.25411184343
278,LCN,8707.18736820255
279,LAC,8181.62274744186
280,TLA,8526.26578328322
281,LDC,1090.00328554806
282,LMY,4950.73417860259
283,,704.491273951095
284,,2386.48858914775
285,MEA,7338.01401576618
286,MNA,3439.30433515147
287,TMN,3436.759720384
288,MIC,5448.65078025163
289,NAC,63198.7013177896
291,OED,39531.6603463651
292,OSS,13540.4002873269
293,PSS,4233.4136752437
294,PST,45700.938132739
295,PRE,1455.60148016876
296,SST,12427.5767384523
297,SAS,1962.80287524759
298,TSA,1962.80287524759
299,SSF,1601.1217636118
300,SSA,1599.75918622443
301,TSS,1601.1217636118
302,,9534.00511269487
303,WLD,11319.7541087933
304,AFG,500.522664145294
305,ALB,5396.21586434732
306,DZA,4022.15018374716
307,ASM,13672.576657298
308,AND,41327.5020305489
309,AGO,2142.23875712854
310,ATG,18319.4560540762
311,ARG,9963.6725062053
312,ARM,4828.50517771789
313,ABW,31650.7605367511
314,AUS,54941.4341793948
315,AUT,50070.4033482901
316,AZE,4805.75371765917
317,BHS,32610.4850490784
318,BHR,25869.1129129041
319,BGD,2122.07885124799
320,BRB,19002.9623813263
321,BLR,6837.71782606351
322,BEL,46638.6813054855
323,BLZ,6210.56554311929
324,BEN,1170.96553298099
325,BMU,116153.166121638
326,BTN,3303.96421053812
327,BOL,3472.38083075685
328,BIH,6011.37067052755
329,BWA,6679.16767381458
330,BRA,8845.25911841876
332,BRN,30748.7374865551
333,BGR,9879.33434282707
334,BFA,772.166894917835
335,BDI,216.972968085123
336,CPV,3434.56274492859
337,KHM,1671.38538492515
338,CMR,1538.68794663506
339,CAN,46328.6718408497
340,CYM,89871.9131394463
341,CAF,426.408762581226
342,TCD,701.621216594764
344,CHL,14631.9468779229
345,CHN,10143.8381955585
346,COL,6438.06018290435
347,COM,1510.79735809965
348,COD,575.882790805511
349,COG,2288.80813763495
350,CRI,12669.341068679
351,CIV,2238.81100489009
352,HRV,15331.8830536722
353,CUB,9139.41585605765
354,CUW,19024.1771511889
355,CYP,29417.138671875
356,CZE,23664.8478631108
357,DNK,59592.9806886454
358,DJI,2876.04366371536
359,DMA,8561.58701121461
360,DOM,8173.33800656006
361,ECU,6233.25816692363
362,EGY,2869.57658843903
363,SLV,4280.28840404719
364,GNQ,7317.39018853546
366,EST,23424.4847073518
367,SWZ,3843.3773913814
368,ETH,840.449451464836
369,FRO,63383.196148417
370,FJI,5968.30055949885
371,FIN,48629.8582283032
372,FRA,40494.8982936276
373,PYF,20023.5047046924
374,GAB,7523.8622784598
375,GMB,722.874793145171
376,GEO,4696.15058555612
377,DEU,46793.6867616004
378,GHA,2167.91158941087
380,GRC,19144.284387556
381,GRL,53256.2440862119
382,GRD,9887.92074235834
383,GUM,37752.633077142
384,GTM,4647.69334663252
385,GIN,1043.8998820932
386,GNB,730.611448705215
387,GUY,6477.29672607993
388,HTI,1324.84400548618
389,HND,2519.37019370185
390,HKG,48356.0635043614
391,HUN,16782.9524639857
392,ISL,68853.71521658
393,IND,2047.23270433512
394,IDN,4151.22754296453
395,IRN,3277.875595507
396,IRQ,5621.18169491752
397,IRL,80927.0746710666
398,IMN,87157.4714603395
399,ISR,44452.2325623093
400,ITA,33673.7509627421
401,JAM,5626.17117652759
402,JPN,40458.0018755824
403,JOR,4205.56365350106
404,KAZ,9812.5958082732
405,KEN,1970.10514317888
406,KIR,1432.17898537689
408,KOR,31902.4169048194
409,XKX,4416.10835754636
410,KWT,30667.3482202553
411,KGZ,1374.03210467421
412,LAO,2598.50552320723
413,LVA,17945.2222164984
414,LBN,8985.57249887356
415,LSO,1102.56486953249
416,LBR,665.878447568436
417,LBY,10542.1492864798
418,LIE,167019.618092859
419,LTU,19595.1415724355
420,LUX,112621.821337404
421,MAC,83183.1666089243
422,MDG,512.279659659088
423,MWI,584.362867276266
424,MYS,11132.0239344924
425,MDV,11118.5565375032
426,MLI,840.175765032737
427,MLT,31198.2414453028
428,MHL,5188.97111429082
429,MRT,1839.964449578
430,MUS,11405.7268191397
431,MEX,10145.1701829207
432,FSM,3699.08151446862
433,MDA,4493.37030323867
434,MCO,199377.481831603
435,MNG,4394.94714713374
436,MNE,8909.65333601178
437,MAR,3498.57397460938
438,MOZ,508.163674567861
439,MMR,1295.2014475589
440,NAM,5126.17614357634
441,NRU,9786.02652564979
442,NPL,1185.68267540752
443,NLD,52476.2732533327
444,NCL,34797.5186645024
445,NZL,42865.233643554
446,NIC,1890.27306467363
447,NER,550.963555536013
448,NGA,2204.18157415589
449,MKD,6070.38805358275
450,MNP,23707.3288138313
451,NOR,75719.7528965342
452,OMN,19132.1522739094
453,PAK,1437.16590678288
454,PLW,15567.0908684974
455,PAN,15826.0823544866
456,PNG,2593.80465015989
457,PRY,5807.83879407975
458,PER,6955.80995882668
459,PHL,3413.84792378255
460,POL,15699.9113500703
461,PRT,23330.817288932
462,PRI,32916.866800639
463,QAT,62637.2751084291
464,ROU,12958.0755553785
465,RUS,11536.2509765625
466,RWA,806.879981050775
467,WSM,4308.27275342784
468,SMR,47287.3983949924
469,STP,1991.73826385183
470,SAU,22430.238229402
471,SEN,1462.35433280275
472,SRB,7417.20364852201
473,SYC,17253.5056614424
474,SLE,506.606894364098
475,SGP,65831.1894308765
477,SVK,19383.4810445228
478,SVN,26016.078683914
479,SLB,2398.77275659429
480,SOM,405.786763279583
481,ZAF,6688.78727128797
483,ESP,29581.5185513299
484,LKA,4082.69461963515
485,KNA,23219.3314206225
486,LCA,11726.7697662964
488,VCT,8674.37100857481
489,SDN,748.010925292969
490,SUR,6690.04478601228
491,SWE,51939.4297445291
492,CHE,84121.9310304414
493,SYR,1116.67924613649
494,TJK,889.02026237745
495,TZA,1052.02172851563
496,THA,7630.03960991873
497,TLS,1584.26384378261
498,TGO,875.932659234798
499,TON,4879.0173416227
500,TTO,15690.9630955493
501,TUN,3477.88377711232
502,TUR,9103.04337531894
503,TKM,7344.64823305792
504,TCA,27795.1485608171
505,TUV,4949.17388770172
506,UGA,823.138950454868
507,UKR,3661.45629882813
508,ARE,45376.1708381558
509,GBR,42747.080460496
510,USA,65120.3946628653
511,URY,17859.9314960921
512,UZB,1784.00981608195
513,VUT,3076.58988588361
515,VNM,3491.09127354876
516,VIR,38596.0307118282
517,PSE,3656.85827137011
519,ZMB,1268.12094056241
520,ZWE,1421.86859641758
