Date,North East,East of England,South East,South West,East Midlands,West Midlands,Yorkshire and The Humber,North West,
Jan-09,"£118,710 ","£175,528 ","£194,568 ","£173,483 ","£131,716 ","£139,999 ","£125,554 ","£127,472 ",
Feb-09,"£117,221 ","£171,619 ","£191,720 ","£173,252 ","£129,876 ","£138,503 ","£125,758 ","£126,938 ",
Mar-09,"£117,079 ","£168,263 ","£191,156 ","£171,666 ","£129,915 ","£136,966 ","£123,833 ","£124,654 ",
Apr-09,"£118,270 ","£170,921 ","£193,112 ","£171,356 ","£130,372 ","£137,313 ","£126,502 ","£127,765 ",
May-09,"£119,532 ","£173,914 ","£196,756 ","£174,181 ","£129,878 ","£139,243 ","£127,197 ","£128,224 ",
Jun-09,"£120,823 ","£173,800 ","£199,318 ","£177,983 ","£133,112 ","£139,485 ","£128,130 ","£128,858 ",
Jul-09,"£120,952 ","£178,444 ","£202,557 ","£179,938 ","£134,249 ","£143,597 ","£132,156 ","£130,826 ",
Aug-09,"£122,676 ","£180,570 ","£206,729 ","£181,846 ","£136,342 ","£144,704 ","£132,277 ","£131,723 ",
Sep-09,"£123,725 ","£182,708 ","£209,426 ","£184,484 ","£136,490 ","£144,956 ","£132,027 ","£132,352 ",
Oct-09,"£123,135 ","£182,946 ","£210,508 ","£184,995 ","£138,349 ","£146,929 ","£134,008 ","£133,220 ",
Nov-09,"£124,131 ","£184,531 ","£212,153 ","£185,919 ","£138,539 ","£146,230 ","£134,226 ","£133,662 ",
Dec-09,"£125,208 ","£185,387 ","£211,679 ","£186,816 ","£140,587 ","£148,354 ","£135,139 ","£135,758 ",
Jan-10,"£119,947 ","£187,910 ","£217,936 ","£188,404 ","£136,462 ","£146,424 ","£132,780 ","£131,060 ",
Feb-10,"£121,984 ","£188,039 ","£217,339 ","£189,126 ","£139,602 ","£147,484 ","£132,740 ","£133,089 ",
Mar-10,"£123,110 ","£188,188 ","£216,665 ","£188,491 ","£137,857 ","£146,692 ","£132,707 ","£131,297 ",
Apr-10,"£123,415 ","£191,141 ","£218,270 ","£190,514 ","£139,450 ","£149,119 ","£134,399 ","£134,160 ",
May-10,"£122,873 ","£191,996 ","£220,434 ","£192,511 ","£141,760 ","£149,465 ","£134,781 ","£134,292 ",
Jun-10,"£123,620 ","£191,586 ","£222,047 ","£193,285 ","£142,143 ","£150,817 ","£135,393 ","£134,718 ",
Jul-10,"£123,348 ","£194,838 ","£224,554 ","£194,617 ","£142,973 ","£151,124 ","£137,281 ","£133,975 ",
Aug-10,"£126,174 ","£194,104 ","£224,123 ","£196,163 ","£144,010 ","£150,663 ","£136,896 ","£135,743 ",
Sep-10,"£122,224 ","£195,063 ","£224,587 ","£195,803 ","£142,087 ","£152,089 ","£135,480 ","£134,331 ",
Oct-10,"£124,799 ","£191,946 ","£221,298 ","£194,165 ","£141,097 ","£149,193 ","£133,059 ","£133,166 ",
Nov-10,"£120,265 ","£191,273 ","£219,815 ","£191,693 ","£139,935 ","£149,168 ","£131,548 ","£131,198 ",
Dec-10,"£119,688 ","£190,404 ","£218,657 ","£189,735 ","£139,103 ","£148,525 ","£132,685 ","£131,347 ",
Jan-11,"£117,111 ","£189,424 ","£216,680 ","£188,992 ","£136,418 ","£146,490 ","£128,975 ","£129,892 ",
Feb-11,"£116,809 ","£187,264 ","£217,190 ","£187,669 ","£137,220 ","£144,486 ","£130,825 ","£128,951 ",
Mar-11,"£115,711 ","£188,535 ","£215,778 ","£187,586 ","£136,388 ","£143,209 ","£127,764 ","£127,767 ",
Apr-11,"£119,438 ","£189,403 ","£218,178 ","£188,251 ","£137,100 ","£145,562 ","£131,790 ","£129,500 ",
May-11,"£119,979 ","£189,682 ","£218,577 ","£187,412 ","£137,464 ","£145,692 ","£131,713 ","£128,753 ",
Jun-11,"£119,671 ","£189,105 ","£219,162 ","£189,494 ","£137,793 ","£145,807 ","£130,288 ","£128,484 ",
Jul-11,"£117,616 ","£191,792 ","£222,005 ","£191,264 ","£140,060 ","£146,184 ","£131,165 ","£130,275 ",
Aug-11,"£116,961 ","£192,616 ","£220,344 ","£191,964 ","£140,623 ","£146,183 ","£132,380 ","£131,341 ",
Sep-11,"£117,236 ","£190,805 ","£221,239 ","£189,499 ","£138,920 ","£147,655 ","£131,546 ","£130,472 ",
Oct-11,"£116,238 ","£190,749 ","£218,309 ","£189,765 ","£137,499 ","£144,812 ","£129,243 ","£129,674 ",
Nov-11,"£117,028 ","£191,616 ","£219,732 ","£188,933 ","£137,839 ","£145,825 ","£129,847 ","£127,346 ",
Dec-11,"£115,328 ","£190,795 ","£219,371 ","£187,426 ","£138,723 ","£143,628 ","£129,614 ","£128,039 ",
Jan-12,"£113,011 ","£191,894 ","£217,660 ","£189,942 ","£136,369 ","£145,071 ","£126,763 ","£125,780 ",
Feb-12,"£113,852 ","£190,306 ","£218,487 ","£189,653 ","£136,102 ","£143,615 ","£127,906 ","£127,311 ",
Mar-12,"£116,622 ","£189,084 ","£219,094 ","£188,079 ","£137,025 ","£144,779 ","£128,570 ","£127,820 ",
Apr-12,"£116,031 ","£192,846 ","£223,223 ","£190,924 ","£138,440 ","£144,490 ","£128,045 ","£128,284 ",
May-12,"£115,601 ","£193,690 ","£223,509 ","£190,367 ","£138,251 ","£144,126 ","£129,642 ","£127,459 ",
Jun-12,"£117,444 ","£193,515 ","£224,379 ","£191,813 ","£139,459 ","£147,713 ","£130,979 ","£129,810 ",
Jul-12,"£117,137 ","£196,166 ","£226,770 ","£193,530 ","£140,983 ","£147,399 ","£131,167 ","£129,030 ",
Aug-12,"£119,749 ","£196,204 ","£227,861 ","£192,032 ","£139,793 ","£147,401 ","£131,781 ","£130,137 ",
Sep-12,"£118,194 ","£195,032 ","£228,457 ","£191,674 ","£139,262 ","£147,227 ","£130,579 ","£129,970 ",
Oct-12,"£116,854 ","£195,730 ","£224,927 ","£191,820 ","£139,395 ","£145,709 ","£129,217 ","£126,997 ",
Nov-12,"£116,777 ","£195,007 ","£224,563 ","£191,426 ","£139,511 ","£146,988 ","£130,287 ","£128,922 ",
Dec-12,"£114,860 ","£194,059 ","£225,865 ","£187,901 ","£138,977 ","£147,386 ","£129,701 ","£127,862 ",
Jan-13,"£113,585 ","£194,209 ","£225,210 ","£189,820 ","£137,537 ","£145,005 ","£125,516 ","£124,578 ",
Feb-13,"£112,008 ","£192,418 ","£223,861 ","£189,236 ","£137,599 ","£145,470 ","£128,099 ","£127,100 ",
Mar-13,"£115,161 ","£196,235 ","£225,295 ","£190,494 ","£138,562 ","£145,983 ","£127,679 ","£126,970 ",
Apr-13,"£115,330 ","£196,687 ","£227,862 ","£193,336 ","£139,314 ","£146,320 ","£127,980 ","£127,515 ",
May-13,"£115,849 ","£195,928 ","£228,343 ","£192,848 ","£141,012 ","£147,312 ","£130,027 ","£128,085 ",
Jun-13,"£115,645 ","£198,110 ","£230,987 ","£193,267 ","£141,367 ","£149,457 ","£130,724 ","£129,600 ",
Jul-13,"£118,564 ","£201,279 ","£233,752 ","£195,066 ","£142,534 ","£150,343 ","£131,471 ","£129,713 ",
Aug-13,"£120,219 ","£202,193 ","£234,507 ","£196,500 ","£144,030 ","£151,665 ","£131,934 ","£131,532 ",
Sep-13,"£119,140 ","£202,026 ","£235,143 ","£198,055 ","£143,553 ","£149,816 ","£133,207 ","£131,408 ",
Oct-13,"£112,868 ","£203,714 ","£235,311 ","£197,254 ","£144,444 ","£151,179 ","£130,967 ","£129,085 ",
Nov-13,"£116,456 ","£202,626 ","£237,224 ","£197,476 ","£143,522 ","£151,495 ","£131,770 ","£130,047 ",
Dec-13,"£116,274 ","£207,270 ","£238,975 ","£198,613 ","£145,942 ","£152,008 ","£133,265 ","£131,350 ",
Jan-14,"£114,531 ","£205,792 ","£240,961 ","£198,252 ","£145,261 ","£152,152 ","£131,526 ","£129,790 ",
Feb-14,"£114,784 ","£207,358 ","£241,314 ","£198,985 ","£146,741 ","£151,239 ","£133,566 ","£131,370 ",
Mar-14,"£116,317 ","£208,325 ","£243,371 ","£200,618 ","£146,448 ","£153,209 ","£131,800 ","£130,061 ",
Apr-14,"£118,315 ","£212,541 ","£247,105 ","£204,087 ","£149,319 ","£155,245 ","£135,527 ","£133,616 ",
May-14,"£118,613 ","£216,195 ","£251,395 ","£204,098 ","£150,008 ","£155,724 ","£136,372 ","£134,136 ",
Jun-14,"£121,217 ","£218,023 ","£253,441 ","£204,781 ","£151,454 ","£157,736 ","£136,406 ","£135,870 ",
Jul-14,"£121,279 ","£221,817 ","£257,701 ","£209,034 ","£152,658 ","£158,073 ","£138,056 ","£136,629 ",
Aug-14,"£121,329 ","£224,167 ","£261,254 ","£211,731 ","£155,033 ","£160,571 ","£139,749 ","£138,230 ",
Sep-14,"£120,251 ","£226,243 ","£263,171 ","£213,432 ","£155,263 ","£160,011 ","£137,813 ","£138,050 ",
Oct-14,"£118,619 ","£227,303 ","£263,518 ","£212,152 ","£154,170 ","£159,925 ","£138,639 ","£137,383 ",
Nov-14,"£118,778 ","£226,352 ","£262,969 ","£210,799 ","£154,009 ","£159,782 ","£138,291 ","£136,864 ",
Dec-14,"£118,798 ","£227,176 ","£264,217 ","£211,576 ","£153,904 ","£160,267 ","£139,199 ","£136,688 ",
Jan-15,"£117,156 ","£228,276 ","£264,848 ","£212,878 ","£153,669 ","£158,683 ","£136,169 ","£136,041 ",
Feb-15,"£118,525 ","£229,383 ","£264,568 ","£210,050 ","£154,210 ","£160,388 ","£136,993 ","£137,141 ",
Mar-15,"£117,578 ","£229,497 ","£265,090 ","£212,109 ","£154,728 ","£159,293 ","£137,740 ","£135,261 ",
Apr-15,"£121,598 ","£231,912 ","£268,550 ","£214,541 ","£155,680 ","£161,813 ","£138,435 ","£137,256 ",
May-15,"£120,610 ","£235,052 ","£271,147 ","£215,498 ","£157,709 ","£162,631 ","£141,654 ","£139,668 ",
Jun-15,"£122,584 ","£236,143 ","£275,224 ","£217,582 ","£158,960 ","£164,404 ","£141,872 ","£139,138 ",
Jul-15,"£122,669 ","£241,817 ","£279,875 ","£220,044 ","£161,180 ","£166,016 ","£144,733 ","£141,510 ",
Aug-15,"£123,621 ","£244,547 ","£283,369 ","£223,210 ","£163,208 ","£167,862 ","£145,313 ","£142,463 ",
Sep-15,"£123,304 ","£247,282 ","£284,374 ","£224,435 ","£162,174 ","£167,590 ","£144,635 ","£142,769 ",
Oct-15,"£121,512 ","£248,467 ","£286,452 ","£224,226 ","£163,771 ","£167,550 ","£144,325 ","£142,082 ",
Nov-15,"£123,032 ","£251,803 ","£288,509 ","£226,490 ","£164,460 ","£168,871 ","£145,036 ","£142,829 ",
Dec-15,"£123,597 ","£252,915 ","£291,298 ","£226,855 ","£165,081 ","£169,286 ","£145,531 ","£142,866 ",
Jan-16,"£121,096 ","£255,235 ","£293,678 ","£226,547 ","£164,946 ","£169,747 ","£144,594 ","£143,139 ",
Feb-16,"£121,085 ","£255,450 ","£295,613 ","£227,523 ","£164,383 ","£168,691 ","£145,064 ","£143,009 ",
Mar-16,"£122,837 ","£259,686 ","£300,201 ","£233,607 ","£165,175 ","£169,300 ","£143,824 ","£141,447 ",
Apr-16,"£122,481 ","£259,733 ","£297,712 ","£227,636 ","£167,913 ","£172,955 ","£148,145 ","£146,681 ",
May-16,"£124,696 ","£264,377 ","£301,202 ","£231,318 ","£168,771 ","£174,741 ","£148,712 ","£147,753 ",
Jun-16,"£126,898 ","£267,333 ","£305,125 ","£233,700 ","£170,091 ","£176,729 ","£150,349 ","£148,176 ",
Jul-16,"£127,710 ","£270,678 ","£309,069 ","£235,665 ","£171,782 ","£176,943 ","£151,334 ","£150,341 ",
Aug-16,"£126,116 ","£271,151 ","£309,981 ","£236,832 ","£172,649 ","£178,960 ","£151,486 ","£150,174 ",
Sep-16,"£124,781 ","£273,097 ","£307,429 ","£237,148 ","£173,272 ","£178,837 ","£150,519 ","£150,038 ",
Oct-16,"£124,213 ","£272,589 ","£307,992 ","£235,617 ","£172,479 ","£177,065 ","£150,358 ","£148,332 ",
Nov-16,"£124,910 ","£273,382 ","£307,867 ","£237,150 ","£173,872 ","£179,248 ","£151,219 ","£149,723 ",
Dec-16,"£126,333 ","£275,945 ","£309,185 ","£236,288 ","£174,665 ","£179,668 ","£152,583 ","£149,560 ",
Jan-17,"£122,055 ","£275,049 ","£312,895 ","£238,829 ","£172,959 ","£178,494 ","£148,916 ","£149,371 ",
Feb-17,"£124,088 ","£277,280 ","£310,033 ","£239,143 ","£175,110 ","£179,530 ","£150,721 ","£150,960 ",
Mar-17,"£121,858 ","£275,435 ","£310,447 ","£238,248 ","£174,956 ","£179,542 ","£149,660 ","£149,615 ",
Apr-17,"£124,897 ","£279,497 ","£313,583 ","£240,489 ","£177,942 ","£181,411 ","£153,248 ","£152,217 ",
May-17,"£127,074 ","£282,054 ","£315,314 ","£242,531 ","£178,966 ","£183,199 ","£154,547 ","£153,126 ",
Jun-17,"£128,096 ","£283,381 ","£318,364 ","£245,039 ","£180,204 ","£185,214 ","£155,802 ","£155,061 ",
Jul-17,"£127,983 ","£287,743 ","£321,088 ","£248,904 ","£183,172 ","£187,219 ","£156,514 ","£156,761 ",
Aug-17,"£129,738 ","£287,534 ","£323,089 ","£250,432 ","£182,763 ","£189,271 ","£158,077 ","£158,252 ",
Sep-17,"£127,527 ","£288,342 ","£322,596 ","£249,369 ","£183,816 ","£188,232 ","£157,934 ","£157,751 ",
Oct-17,"£128,590 ","£288,473 ","£322,066 ","£250,981 ","£184,044 ","£188,849 ","£156,897 ","£157,301 ",
Nov-17,"£127,126 ","£287,143 ","£320,212 ","£249,345 ","£183,974 ","£188,640 ","£157,088 ","£157,804 ",
Dec-17,"£130,118 ","£289,022 ","£320,733 ","£249,309 ","£184,942 ","£190,466 ","£158,435 ","£158,863 ",
Jan-18,"£124,169 ","£288,947 ","£320,978 ","£252,533 ","£184,574 ","£187,845 ","£155,888 ","£155,596 ",
Feb-18,"£126,444 ","£288,286 ","£321,375 ","£250,793 ","£187,235 ","£190,682 ","£155,694 ","£157,519 ",
Mar-18,"£124,038 ","£286,499 ","£319,876 ","£250,615 ","£184,845 ","£190,077 ","£156,466 ","£155,625 ",
Apr-18,"£128,330 ","£287,656 ","£321,353 ","£250,254 ","£187,276 ","£191,375 ","£157,431 ","£157,768 ",
May-18,"£128,840 ","£288,222 ","£321,825 ","£251,132 ","£188,826 ","£191,299 ","£159,541 ","£158,823 ",
Jun-18,"£128,049 ","£289,469 ","£324,665 ","£252,603 ","£189,259 ","£193,886 ","£160,484 ","£160,314 ",
Jul-18,"£131,245 ","£293,936 ","£327,091 ","£256,893 ","£191,231 ","£196,297 ","£162,020 ","£162,345 ",
Aug-18,"£130,376 ","£294,035 ","£328,061 ","£258,465 ","£192,610 ","£196,757 ","£164,088 ","£163,092 ",
Sep-18,"£130,223 ","£292,574 ","£327,054 ","£258,839 ","£194,049 ","£198,120 ","£162,180 ","£163,068 ",
Oct-18,"£130,759 ","£293,045 ","£324,475 ","£256,898 ","£191,666 ","£197,972 ","£161,750 ","£163,838 ",
Nov-18,"£128,894 ","£293,428 ","£323,266 ","£256,928 ","£192,979 ","£196,446 ","£161,471 ","£163,186 ",
Dec-18,"£128,696 ","£290,870 ","£321,118 ","£256,577 ","£191,694 ","£198,469 ","£162,130 ","£162,769 ",
Jan-19,"£125,448 ","£288,659 ","£322,226 ","£254,632 ","£191,237 ","£195,498 ","£160,341 ","£161,409 ",
Feb-19,"£124,533 ","£289,832 ","£320,095 ","£255,243 ","£190,990 ","£197,368 ","£159,284 ","£162,066 ",
Mar-19,"£124,666 ","£286,802 ","£317,129 ","£253,051 ","£190,586 ","£195,058 ","£160,771 ","£160,670 ",
Apr-19,"£128,863 ","£287,986 ","£318,912 ","£252,921 ","£191,571 ","£195,476 ","£161,839 ","£162,254 ",
May-19,"£128,851 ","£288,711 ","£318,250 ","£252,527 ","£191,927 ","£197,002 ","£162,208 ","£163,986 ",
Jun-19,"£129,511 ","£288,342 ","£320,835 ","£252,692 ","£192,029 ","£196,679 ","£163,658 ","£163,809 ",
Jul-19,"£129,844 ","£291,364 ","£322,549 ","£258,177 ","£193,480 ","£197,675 ","£164,990 ","£166,118 ",
Aug-19,"£131,440 ","£290,519 ","£322,720 ","£258,322 ","£195,345 ","£200,304 ","£165,547 ","£167,693 ",
Sep-19,"£131,917 ","£291,814 ","£323,762 ","£258,780 ","£194,867 ","£200,466 ","£165,445 ","£167,011 ",
Oct-19,"£129,316 ","£290,903 ","£322,285 ","£258,647 ","£194,705 ","£199,973 ","£166,226 ","£166,780 ",
Nov-19,"£129,493 ","£288,880 ","£322,200 ","£256,540 ","£194,873 ","£200,095 ","£164,876 ","£166,081 ",
Dec-19,"£129,310 ","£290,569 ","£321,278 ","£256,349 ","£194,489 ","£198,301 ","£165,654 ","£165,148 ",
Jan-20,"£127,346 ","£288,877 ","£321,704 ","£257,494 ","£195,100 ","£201,060 ","£164,553 ","£164,563 ",
Feb-20,"£126,993 ","£289,018 ","£318,182 ","£256,208 ","£193,480 ","£198,974 ","£164,353 ","£164,760 ",
Mar-20,"£128,306 ","£288,077 ","£323,167 ","£259,458 ","£195,701 ","£199,637 ","£165,360 ","£166,588 ",
Apr-20,"£123,222 ","£290,593 ","£325,154 ","£256,514 ","£195,185 ","£195,075 ","£160,140 ","£163,904 ",
May-20,"£127,999 ","£290,117 ","£320,817 ","£256,208 ","£194,596 ","£200,156 ","£164,970 ","£164,258 ",
Jun-20,"£129,666 ","£291,772 ","£322,024 ","£259,382 ","£198,494 ","£201,330 ","£167,941 ","£168,769 ",
Jul-20,"£130,778 ","£292,176 ","£325,748 ","£263,582 ","£200,434 ","£203,527 ","£168,740 ","£171,303 ",
Aug-20,"£131,543 ","£296,143 ","£329,417 ","£265,158 ","£200,918 ","£205,908 ","£171,000 ","£173,316 ",
Sep-20,"£134,794 ","£300,021 ","£331,926 ","£269,727 ","£201,616 ","£207,291 ","£171,828 ","£174,352 ",
Oct-20,"£134,715 ","£298,840 ","£332,489 ","£271,744 ","£204,424 ","£208,805 ","£174,360 ","£177,827 ",
Nov-20,"£137,358 ","£300,060 ","£336,738 ","£273,200 ","£207,054 ","£210,348 ","£178,145 ","£178,595 ",
Dec-20,"£138,980 ","£303,983 ","£337,686 ","£276,477 ","£209,567 ","£213,578 ","£179,316 ","£181,696 ",
Jan-21,"£139,236 ","£306,283 ","£340,552 ","£277,271 ","£211,091 ","£213,786 ","£181,214 ","£182,234 ",
Feb-21,"£139,497 ","£307,302 ","£339,787 ","£277,987 ","£212,764 ","£216,219 ","£181,319 ","£184,710 ",
Mar-21,"£142,511 ","£310,039 ","£344,724 ","£282,898 ","£213,897 ","£218,064 ","£183,188 ","£186,939 ",
Apr-21,"£140,152 ","£308,296 ","£342,086 ","£279,228 ","£211,665 ","£216,497 ","£179,999 ","£184,388 ",
May-21,"£140,024 ","£308,003 ","£342,227 ","£276,754 ","£211,871 ","£216,741 ","£181,853 ","£184,621 ",
Jun-21,"£152,441 ","£322,993 ","£358,629 ","£298,345 ","£224,919 ","£230,984 ","£195,830 ","£199,989 ",
Jul-21,"£141,382 ","£309,030 ","£344,318 ","£273,770 ","£212,160 ","£216,752 ","£180,018 ","£183,796 ",
Aug-21,"£143,867 ","£319,312 ","£354,370 ","£287,201 ","£218,318 ","£224,071 ","£186,332 ","£189,930 ",
Sep-21,"£154,819 ","£327,929 ","£365,884 ","£300,793 ","£227,212 ","£230,628 ","£196,014 ","£200,667 ",
Oct-21,"£143,484 ","£325,382 ","£361,533 ","£295,103 ","£223,137 ","£224,506 ","£185,945 ","£189,810 ",
Nov-21,"£145,798 ","£331,587 ","£365,907 ","£302,037 ","£226,236 ","£228,743 ","£190,804 ","£195,127 ",
Dec-21,"£146,618 ","£332,146 ","£367,597 ","£303,780 ","£228,541 ","£232,000 ","£192,328 ","£197,318 ",
Jan-22,"£148,902 ","£336,599 ","£375,257 ","£308,148 ","£232,276 ","£234,358 ","£195,487 ","£200,506 ",