Date,North East,East of England,South East,South West,East Midlands,West Midlands,Yorkshire and The Humber,North West,Year
Jan-80,no data,no data,no data,19937,15486,16872,14106,no data,1980
Jan-81,no data,no data,no data,21128,17033,18116,16424,no data,1981
Jan-82,no data,no data,no data,21937,18037,17906,16454,no data,1982
Jan-83,no data,no data,no data,23618,19584,19623,18030,no data,1983
Jan-84,no data,no data,no data,25745,21559,20849,19696,no data,1984
Jan-85,no data,no data,no data,27660,23205,21375,21211,no data,1985
Jan-86,no data,no data,no data,32128,24686,23477,22272,no data,1986
Jan-87,no data,no data,no data,37448,28471,25404,24393,no data,1987
Jan-88,no data,no data,no data,45872,33020,31544,27373,no data,1988
Jan-89,no data,no data,no data,62553,45941,47541,37801,no data,1989
Jan-90,no data,no data,no data,59397,48312,50231,45082,no data,1990
Jan-91,no data,no data,no data,56206,46079,49278,45679,no data,1991
Jan-92,no data,no data,no data,55910,47915,50081,47192,no data,1992
Jan-93,41180,54831,59635,50376,45521,47576,48688,no data,1993
Jan-94,43007,56004,62887,51514,46525,49394,48354,no data,1994
Jan-95,42076,56702,64019,54705,45545,48528,44803,43958,1995
Jan-96,40790,55033,64057,53373,44619,47952,43461,42599,1996
Jan-97,42353,59081,69008,57751,46775,51120,44984,44095,1997
Jan-98,44246,66899,79976,64148,50771,55163,46763,46309,1998
Jan-99,45467,71966,87346,69448,53062,58274,47586,47593,1999
Jan-00,47604,84192,104358,81381,58080,63833,50489,51177,2000
Jan-01,49837,96628,118668,92100,65725,71065,55007,55927,2001
Jan-02,54746,112374,137154,108960,75280,80653,60884,61872,2002
Jan-03,67520,144866,169024,141452,100132,104468,78554,76069,2003
Jan-04,90994,159710,182139,158495,119411,122858,96820,95632,2004
Jan-05,111474,175323,195620,175838,135281,140028,118923,118939,2005
Jan-06,123039,178992,201252,181152,140443,147576,130043,130144,2006
Jan-07,132508,194994,220546,197597,151360,157384,141824,142760,2007
Jan-08,135418,207691,235300,207936,153065,161758,147225,148289,2008
Jan-09,118710,175528,194568,173483,131716,139999,125554,127472,2009
Jan-10,119947,187910,217936,188404,136462,146424,132780,131060,2010
Jan-11,117111,189424,216680,188992,136418,146490,128975,129892,2011
Jan-12,113011,191894,217660,189942,136369,145071,126763,125780,2012
Jan-13,113585,194209,225210,189820,137537,145005,125516,124578,2013
Jan-14,114531,205792,240961,198252,145261,152152,131526,129790,2014
Jan-15,117156,228276,264848,212878,153669,158683,136169,136041,2015
Jan-16,121096,255235,293678,226547,164946,169747,144594,143139,2016
Jan-17,122055,275049,312895,238829,172959,178494,148916,149371,2017
Jan-18,124169,288947,320978,252533,184574,187845,155888,155596,2018
Jan-19,125448,288659,322226,254632,191237,195498,160341,161409,2019
Jan-20,127346,288877,321704,257494,195100,201060,164553,164563,2020
Jan-21,139236,306283,340552,277271,211091,213786,181214,182234,2021
Jan-22,148902,336599,375257,308148,232276,234358,195487,200506,2022